parent_id,id
604,1035
0,12
901,1036
2,13
47,1037
6,14
0,1038
6,15
0,1039
13,16
917,1040
0,17
899,1041
10,18
0,1042
1,19
0,1043
0,20
0,1044
20,21
0,1045
19,22
382,1046
20,23
0,1047
1,24
0,1048
22,25
0,1049
0,26
625,1050
26,27
1049,1051
26,28
47,1052
27,29
752,1053
14,30
657,1054
28,31
1045,1055
29,32
1036,1056
29,33
1053,1057
4,34
846,1058
4,35
882,1059
32,36
1057,1060
0,37
1059,1061
4,38
1056,1062
33,39
900,1063
26,40
916,1064
0,41
0,1065
40,42
0,1066
36,43
1061,1067
31,44
905,1068
31,45
1067,1069
39,46
1069,1070
0,47
1070,1071
44,48
669,1072
18,49
1071,1073
46,50
346,1167
45,51
1160,1168
30,52
344,1169
0,53
1169,1170
5,54
109,1171
41,55
1167,1172
0,56
1171,1173
1,57
41,1179
29,58
196,1175
50,59
590,1127
48,60
625,1128
24,61
1050,1129
0,62
694,1130
4,63
1095,1131
0,64
0,493
58,65
458,494
59,66
393,495
60,67
406,496
0,68
182,497
0,69
402,498
65,70
415,499
0,71
223,500
70,72
0,501
63,73
382,502
0,74
337,503
0,75
396,504
0,76
0,505
0,77
137,506
74,78
0,507
0,79
382,508
72,80
176,509
80,81
498,510
57,82
471,511
56,83
460,512
73,84
402,513
68,85
176,514
76,86
4,515
82,87
454,516
67,88
151,517
0,89
498,518
88,90
363,519
81,91
291,520
90,92
502,521
0,93
152,522
17,94
517,523
17,95
0,524
83,96
513,525
87,97
52,526
51,98
203,527
78,99
445,528
55,100
0,529
5,101
456,530
85,102
471,531
98,103
233,532
0,104
136,533
75,105
508,534
4,106
471,535
83,107
510,536
73,108
424,537
105,109
447,538
53,110
496,539
90,111
274,540
0,112
0,541
76,113
214,542
93,114
537,543
89,115
475,544
107,116
0,545
54,117
515,546
79,118
209,547
0,119
494,548
111,120
47,549
93,121
318,550
76,122
0,551
116,123
529,552
119,124
549,553
75,125
542,554
0,126
493,555
62,127
458,556
64,128
229,557
114,129
462,558
124,130
424,559
0,131
556,560
120,132
542,561
47,133
554,562
47,134
0,563
56,135
0,564
